fact_id_tarea,fact_id_empleado,fact_id_cliente,fact_id_servicio,fact_fecha_inicio,fact_fecha_fin,fact_fecha_entrega,fact_horas_dedicadas,fact_estado,fact_prioridad
42,4,4,3,2024-08-07,2024-08-08,2024-08-08,2.83,completado,alta
43,9,422,3,2025-06-07,2025-06-08,2025-06-08,1.77,completado,baja
44,6,20,4,2024-06-08,2024-06-09,2024-06-11,4.06,retrasado,baja
45,2,132,3,2025-08-07,2025-08-08,2025-08-08,2.48,completado,alta
46,6,40,6,2025-05-09,2025-05-10,2025-05-10,3.94,"en progreso",alta
47,1,329,3,2025-08-13,2025-08-13,2025-08-13,0.28,completado,media
48,7,179,4,2024-05-03,2024-05-04,2024-05-04,3,completado,alta
49,1,335,5,2025-10-11,2025-10-13,2025-10-13,7.74,completado,baja
50,1,157,5,2024-11-22,2024-11-22,2024-11-22,1.37,completado,media
51,4,258,6,2024-06-05,2024-06-06,2024-06-11,2.46,retrasado,media
52,10,386,5,2025-05-31,2025-05-31,2025-06-03,2.26,retrasado,media
53,6,76,2,2024-03-25,2024-03-26,2024-03-26,3.94,completado,alta
54,2,205,3,2025-02-12,2025-02-13,2025-02-13,4.58,completado,baja
55,4,247,5,2025-05-14,2025-05-14,2025-05-14,2.94,completado,alta
56,9,316,6,2024-09-09,2024-09-10,2024-09-10,4.22,"en progreso",media
57,10,166,6,2024-04-01,2024-04-02,2024-04-05,3.6,retrasado,media
58,6,179,2,2024-12-18,2024-12-20,2024-12-20,7.93,completado,media
59,10,87,3,2025-03-28,2025-03-28,2025-03-28,2.48,completado,baja
60,4,474,2,2025-12-02,2025-12-04,2025-12-04,9.55,completado,baja
61,4,379,1,2025-09-27,2025-09-28,2025-09-28,2.88,completado,baja
62,2,176,6,2024-11-08,2024-11-09,2024-11-09,4.84,completado,media
63,9,108,6,2024-08-04,2024-08-05,2024-08-05,4.69,"en progreso",alta
64,3,248,5,2025-12-12,2025-12-14,2025-12-14,6.05,completado,media
65,9,299,6,2024-02-14,2024-02-15,2024-02-15,3.49,completado,media
66,10,103,6,2024-10-04,2024-10-06,2024-10-11,7.95,retrasado,baja
67,5,199,6,2025-11-09,2025-11-10,2025-11-10,4.02,completado,baja
68,11,10,3,2025-01-30,2025-01-31,2025-01-31,4.48,"en progreso",alta
69,6,364,1,2025-05-11,2025-05-11,2025-05-11,4.02,completado,baja
70,8,102,5,2025-07-28,2025-07-29,2025-07-29,2.39,completado,baja
71,5,127,5,2024-12-07,2024-12-08,2024-12-08,5.89,completado,baja
72,6,178,6,2024-12-29,2024-12-29,2024-12-29,3,completado,alta
73,11,142,1,2024-09-20,2024-09-22,2024-09-22,8.14,completado,alta
74,3,144,2,2024-12-15,2024-12-15,2024-12-15,2.23,completado,baja
75,9,374,4,2025-11-25,2025-11-26,2025-11-26,4.4,completado,media
76,3,124,5,2025-03-12,2025-03-13,2025-03-13,4.63,completado,media
77,4,278,2,2025-10-30,2025-10-31,2025-11-04,3.89,retrasado,baja
78,9,159,6,2024-05-18,2024-05-19,2024-05-19,4.86,completado,alta
79,3,478,5,2024-11-21,2024-11-22,2024-11-26,4.32,retrasado,baja
80,1,163,2,2024-11-22,2024-11-23,2024-11-23,5.61,completado,media
81,11,156,4,2024-10-07,2024-10-08,2024-10-08,6.41,"en progreso",baja
82,1,68,2,2025-09-18,2025-09-18,2025-09-18,2.17,completado,alta
83,11,119,2,2024-01-27,2024-01-27,2024-01-27,0.94,completado,baja
84,8,258,5,2025-12-30,2025-12-30,2025-12-30,0.2,completado,media
85,3,252,4,2024-06-16,2024-06-17,2024-06-17,3.61,"en progreso",media
86,5,392,1,2025-02-26,2025-02-27,2025-02-27,1.96,"en progreso",baja
87,8,34,2,2025-09-23,2025-09-24,2025-09-24,6.69,completado,media
88,7,455,2,2025-02-18,2025-02-19,2025-02-19,2.95,completado,alta
89,10,161,4,2025-08-08,2025-08-10,2025-08-10,8.69,completado,alta
90,8,56,4,2024-02-13,2024-02-14,2024-02-14,3.58,completado,alta
91,1,276,4,2025-07-25,2025-07-26,2025-07-26,4.39,completado,baja
92,7,150,4,2024-11-07,2024-11-08,2024-11-08,4.59,completado,media
93,5,86,4,2025-09-19,2025-09-21,2025-09-21,5.26,completado,media
94,8,425,6,2024-04-02,2024-04-03,2024-04-03,6.09,completado,baja
95,9,399,5,2024-05-18,2024-05-19,2024-05-19,2.42,completado,media
96,8,13,2,2025-08-27,2025-08-29,2025-08-29,7.36,completado,media
97,6,47,3,2025-12-09,2025-12-09,2025-12-09,0.76,completado,alta
98,2,376,1,2024-04-26,2024-04-27,2024-04-27,5.16,completado,baja
99,7,269,6,2025-06-07,2025-06-08,2025-06-08,4.09,completado,media
100,1,282,4,2024-06-23,2024-06-25,2024-06-25,9.78,completado,baja
101,3,445,2,2025-12-30,2025-12-30,2026-01-01,1.5,retrasado,alta
102,5,394,4,2025-10-03,2025-10-04,2025-10-04,2.03,"en progreso",baja
103,5,2,5,2024-01-13,2024-01-13,2024-01-13,-0.3,completado,alta
104,10,414,1,2025-05-20,2025-05-20,2025-05-20,3.09,"en progreso",media
105,2,210,4,2025-09-07,2025-09-07,2025-09-07,1.26,completado,alta
106,11,143,5,2025-07-24,2025-07-25,2025-07-25,5.32,completado,baja
107,1,95,2,2025-10-30,2025-10-31,2025-10-31,4.11,completado,baja
108,10,342,5,2024-11-01,2024-11-01,2024-11-01,1.47,completado,baja
109,3,56,4,2024-06-14,2024-06-14,2024-06-14,0.49,completado,media
110,6,384,5,2024-02-06,2024-02-06,2024-02-08,2.73,retrasado,media
111,2,460,4,2025-03-13,2025-03-13,2025-03-13,2.76,completado,media
112,2,242,2,2025-12-12,2025-12-12,2025-12-12,3,completado,alta
113,4,212,5,2025-12-13,2025-12-13,2025-12-13,2.8,"en progreso",baja
114,11,293,6,2025-06-25,2025-06-26,2025-06-26,4.44,completado,alta
115,5,353,5,2025-03-13,2025-03-14,2025-03-14,2.83,completado,media
116,10,270,5,2024-12-28,2024-12-29,2024-12-29,5.42,completado,alta
117,8,374,6,2025-05-19,2025-05-21,2025-05-21,6.27,completado,alta
118,1,149,2,2024-05-01,2024-05-02,2024-05-07,1.96,retrasado,alta
119,10,435,2,2025-02-28,2025-02-28,2025-02-28,2.89,completado,media
120,4,287,6,2024-01-12,2024-01-12,2024-01-12,-0.61,completado,media
121,5,405,1,2024-11-03,2024-11-03,2024-11-03,3.12,completado,baja
122,6,59,6,2024-12-15,2024-12-17,2024-12-17,6.89,completado,baja
123,6,100,3,2025-11-19,2025-11-19,2025-11-19,0.66,completado,baja
124,8,331,2,2024-06-08,2024-06-09,2024-06-09,4.95,completado,media
125,1,402,4,2025-06-17,2025-06-19,2025-06-19,8.5,completado,alta
126,4,275,1,2025-08-14,2025-08-16,2025-08-16,6.85,completado,baja
127,1,77,3,2024-12-13,2024-12-14,2024-12-14,3.58,completado,alta
128,3,311,4,2025-09-01,2025-09-01,2025-09-03,2.38,retrasado,alta
129,7,17,3,2024-03-29,2024-03-30,2024-03-30,2.83,completado,media
130,4,232,3,2025-06-21,2025-06-21,2025-06-21,4,completado,media
131,4,402,1,2024-04-04,2024-04-06,2024-04-06,7.73,completado,media
132,3,464,5,2024-07-13,2024-07-14,2024-07-14,3.88,completado,alta
133,5,448,5,2024-12-01,2024-12-04,2024-12-04,10.46,retrasado,baja
134,8,371,1,2025-01-31,2025-02-01,2025-02-01,7.49,completado,baja
135,11,160,1,2025-08-31,2025-09-01,2025-09-01,5.61,completado,media
136,2,456,1,2025-06-17,2025-06-18,2025-06-18,6.25,completado,baja
137,11,296,3,2024-08-02,2024-08-02,2024-08-02,2.14,completado,media
138,6,142,5,2025-03-27,2025-03-28,2025-03-28,5.43,completado,baja
139,2,81,3,2024-01-16,2024-01-18,2024-01-18,6.72,completado,baja
140,9,278,3,2024-11-22,2024-11-22,2024-11-22,2.3,completado,alta
141,2,126,2,2024-11-14,2024-11-14,2024-11-14,1.53,completado,alta
142,3,228,1,2024-01-30,2024-01-31,2024-01-31,3.05,completado,baja
143,2,197,1,2025-03-12,2025-03-12,2025-03-12,2.12,completado,alta
144,6,183,3,2024-07-21,2024-07-21,2024-07-21,3.26,completado,media
145,2,291,2,2025-12-16,2025-12-16,2025-12-16,3.03,completado,media
146,8,351,6,2025-04-26,2025-04-27,2025-04-27,2.23,"en progreso",baja
147,5,441,5,2025-01-07,2025-01-07,2025-01-07,3.24,completado,media
148,1,233,4,2024-03-07,2024-03-08,2024-03-08,4.82,completado,media
149,5,237,2,2024-12-22,2024-12-22,2024-12-22,2.39,completado,alta
150,2,53,4,2024-11-29,2024-12-01,2024-12-01,9.43,completado,media
151,7,273,4,2025-08-27,2025-08-27,2025-08-27,3.15,completado,alta
152,7,82,4,2024-03-08,2024-03-09,2024-03-09,3.46,completado,media
153,9,291,3,2025-12-11,2025-12-12,2025-12-12,5.43,"en progreso",alta
154,10,477,6,2025-05-13,2025-05-14,2025-05-18,4.42,retrasado,media
155,8,285,1,2024-06-29,2024-06-29,2024-06-29,3.07,completado,baja
156,11,307,1,2025-09-02,2025-09-03,2025-09-03,3.01,completado,media
157,11,254,6,2024-03-03,2024-03-03,2024-03-04,0.92,retrasado,baja
158,8,339,2,2025-06-28,2025-06-28,2025-06-28,2.52,completado,baja
159,6,106,6,2024-11-02,2024-11-03,2024-11-03,4.16,completado,media
160,2,368,3,2025-08-19,2025-08-20,2025-08-24,4.47,retrasado,baja
161,1,437,3,2025-01-13,2025-01-13,2025-01-13,-2.05,completado,baja
162,6,361,5,2024-04-22,2024-04-24,2024-04-24,8.39,completado,baja
163,10,222,6,2025-02-07,2025-02-08,2025-02-08,3.56,completado,media
164,9,196,4,2024-08-04,2024-08-05,2024-08-05,6.32,completado,baja
165,7,97,5,2025-01-03,2025-01-04,2025-01-04,6.27,completado,media
166,3,447,6,2024-05-17,2024-05-18,2024-05-23,4.17,retrasado,baja
167,11,370,4,2025-03-23,2025-03-23,2025-03-23,0.74,completado,baja
168,7,71,6,2025-04-11,2025-04-12,2025-04-12,5.54,completado,alta
169,9,93,4,2025-03-10,2025-03-11,2025-03-11,2.91,completado,media
170,3,182,2,2025-03-10,2025-03-11,2025-03-11,3.43,completado,alta
171,9,122,6,2024-10-02,2024-10-03,2024-10-03,4.39,completado,baja
172,8,20,5,2025-12-22,2025-12-22,2025-12-22,2.07,completado,alta
173,9,41,2,2024-10-13,2024-10-14,2024-10-14,5.53,completado,alta
174,2,456,5,2024-09-08,2024-09-10,2024-09-10,6.08,completado,alta
175,10,325,5,2024-11-15,2024-11-15,2024-11-15,1.24,completado,alta
176,8,399,1,2025-04-09,2025-04-09,2025-04-09,0.58,completado,alta
177,7,376,3,2024-12-27,2024-12-29,2024-12-29,4.97,completado,media
178,10,86,1,2024-11-07,2024-11-08,2024-11-08,6.47,completado,baja
179,10,323,4,2024-06-22,2024-06-23,2024-06-23,5.84,completado,alta
180,5,320,1,2025-05-11,2025-05-11,2025-05-15,2.55,retrasado,media
181,10,130,2,2024-10-14,2024-10-14,2024-10-14,0.44,completado,baja
182,10,380,1,2024-06-27,2024-06-28,2024-06-28,3.27,completado,alta
183,3,229,3,2024-09-24,2024-09-26,2024-09-26,6.43,completado,media
184,1,93,5,2024-12-17,2024-12-18,2024-12-18,4.48,completado,alta
185,8,479,2,2025-02-26,2025-02-27,2025-02-27,3.36,completado,alta
186,11,226,6,2024-06-20,2024-06-21,2024-06-21,4.62,"en progreso",baja
187,2,329,3,2024-02-23,2024-02-23,2024-02-23,1.63,"en progreso",media
188,9,155,4,2024-08-27,2024-08-29,2024-08-29,6.17,completado,media
189,9,135,2,2025-03-21,2025-03-22,2025-03-25,3.11,retrasado,alta
190,11,162,5,2024-02-12,2024-02-13,2024-02-17,2.65,retrasado,media
191,5,313,6,2024-12-09,2024-12-10,2024-12-10,3.88,completado,media
192,7,336,5,2025-04-17,2025-04-17,2025-04-17,0.74,completado,alta
193,4,345,5,2025-06-16,2025-06-16,2025-06-16,1.07,completado,media
194,11,281,1,2024-01-09,2024-01-10,2024-01-10,1.69,completado,media
195,2,51,5,2025-12-02,2025-12-04,2025-12-04,5.96,completado,alta
196,4,146,3,2024-02-04,2024-02-04,2024-02-04,2.3,retrasado,alta
197,10,337,2,2025-10-15,2025-10-17,2025-10-17,5.64,retrasado,alta
198,11,67,4,2025-10-25,2025-10-26,2025-10-26,5.32,completado,baja
199,5,357,2,2024-10-28,2024-10-29,2024-10-29,2.21,completado,alta
200,7,233,3,2025-12-09,2025-12-10,2025-12-10,5.31,completado,media
201,5,83,1,2024-03-04,2024-03-04,2024-03-04,4.2,completado,baja
202,3,133,3,2025-03-27,2025-03-28,2025-03-29,5.75,retrasado,baja
203,2,331,4,2024-05-27,2024-05-28,2024-05-28,3.95,completado,baja
204,2,315,6,2025-03-28,2025-03-30,2025-03-30,7.5,completado,baja
205,10,38,1,2024-09-13,2024-09-14,2024-09-14,5.14,completado,media
206,11,77,6,2024-01-01,2024-01-02,2024-01-02,6.66,completado,media
207,6,78,6,2025-02-04,2025-02-04,2025-02-04,0.66,completado,media
208,2,224,4,2025-07-07,2025-07-07,2025-07-07,1.91,"en progreso",alta
209,2,419,4,2025-08-03,2025-08-03,2025-08-03,1.58,completado,media
210,7,350,3,2024-02-26,2024-02-27,2024-02-27,5.17,completado,media
211,2,274,3,2025-04-15,2025-04-16,2025-04-16,3.57,completado,alta
212,9,104,2,2024-02-10,2024-02-12,2024-02-12,6.46,completado,media
213,2,357,4,2025-10-07,2025-10-08,2025-10-08,5.3,completado,baja
214,8,454,6,2024-07-13,2024-07-14,2024-07-15,6.17,retrasado,alta
215,8,304,2,2025-02-02,2025-02-02,2025-02-06,0.34,retrasado,media
216,1,274,4,2024-02-07,2024-02-08,2024-02-08,6.4,completado,alta
217,2,22,4,2024-08-04,2024-08-05,2024-08-05,4.46,completado,alta
218,3,446,5,2025-08-16,2025-08-18,2025-08-18,8.5,"en progreso",baja
219,8,377,2,2025-10-31,2025-10-31,2025-11-04,2.38,retrasado,baja
220,3,360,6,2024-01-15,2024-01-16,2024-01-16,6.44,"en progreso",media
221,8,421,1,2025-09-17,2025-09-18,2025-09-18,5.63,"en progreso",baja
222,10,59,4,2025-09-22,2025-09-23,2025-09-23,2.56,"en progreso",media
223,11,173,6,2025-02-15,2025-02-16,2025-02-16,6.58,completado,media
224,1,429,2,2025-08-30,2025-09-01,2025-09-01,6.28,"en progreso",baja
225,7,141,2,2024-06-21,2024-06-22,2024-06-22,3.77,completado,media
226,1,125,5,2024-05-16,2024-05-16,2024-05-21,1.1,retrasado,baja
227,2,9,4,2024-01-07,2024-01-07,2024-01-07,1.91,retrasado,media
228,3,356,4,2024-07-30,2024-07-30,2024-08-01,3.03,retrasado,media
229,10,123,2,2025-12-09,2025-12-09,2025-12-10,2.5,retrasado,alta
230,5,46,6,2024-12-22,2024-12-22,2024-12-22,2.74,completado,baja
231,2,61,5,2025-09-25,2025-09-25,2025-09-25,4.17,completado,media
232,11,395,6,2024-08-01,2024-08-02,2024-08-02,5.16,completado,baja
233,11,408,2,2025-04-30,2025-05-01,2025-05-01,4.51,completado,alta
234,1,473,1,2025-10-22,2025-10-23,2025-10-23,4.7,completado,media
235,10,129,3,2025-04-09,2025-04-09,2025-04-14,0.14,retrasado,alta
236,1,91,2,2025-05-11,2025-05-12,2025-05-12,3.61,completado,baja
237,10,370,4,2025-08-16,2025-08-16,2025-08-16,1.51,completado,alta
238,4,347,3,2024-04-22,2024-04-22,2024-04-22,0.4,completado,baja
239,4,378,4,2025-01-19,2025-01-20,2025-01-20,3.02,completado,media
240,1,300,4,2025-03-22,2025-03-23,2025-03-27,6.22,retrasado,baja
241,3,199,3,2025-04-13,2025-04-14,2025-04-14,2.18,completado,media
242,3,104,3,2024-02-02,2024-02-03,2024-02-03,3.59,completado,media
243,8,70,1,2025-04-14,2025-04-15,2025-04-15,4.36,completado,baja
244,10,454,3,2024-06-09,2024-06-10,2024-06-10,3.99,completado,alta
245,2,284,2,2025-02-25,2025-02-26,2025-02-26,5.98,completado,baja
246,8,303,4,2024-10-12,2024-10-13,2024-10-16,3.62,retrasado,baja
247,10,168,4,2024-08-15,2024-08-16,2024-08-16,6.2,completado,alta
248,7,460,1,2024-02-15,2024-02-16,2024-02-19,4.19,retrasado,media
249,8,272,4,2025-12-14,2025-12-14,2025-12-14,2.03,completado,media
250,9,124,1,2024-01-13,2024-01-13,2024-01-13,3.03,completado,baja
251,5,68,3,2024-09-01,2024-09-03,2024-09-03,6.6,completado,baja
252,5,246,6,2024-06-14,2024-06-15,2024-06-15,3.28,completado,media
253,7,238,2,2024-07-08,2024-07-08,2024-07-08,1.4,completado,alta
254,11,238,6,2024-01-02,2024-01-02,2024-01-02,0.61,completado,media
255,6,458,6,2025-06-27,2025-06-28,2025-07-01,5.58,retrasado,alta
256,10,314,5,2024-07-31,2024-08-02,2024-08-02,7.68,completado,alta
257,1,451,3,2025-06-11,2025-06-13,2025-06-13,9.56,completado,baja
258,6,57,4,2025-04-21,2025-04-21,2025-04-21,2.07,completado,media
259,9,90,6,2025-12-22,2025-12-23,2025-12-28,5.13,retrasado,baja
260,9,172,2,2024-04-26,2024-04-26,2024-04-26,1.76,completado,alta
261,6,390,2,2024-12-27,2024-12-27,2024-12-27,0.98,completado,media
262,6,28,1,2024-12-19,2024-12-19,2024-12-19,1.51,completado,media
263,11,364,5,2025-06-29,2025-07-01,2025-07-01,6.34,completado,alta
264,2,189,6,2024-07-11,2024-07-12,2024-07-12,5.26,completado,baja
265,3,42,4,2024-10-22,2024-10-23,2024-10-23,4.43,completado,baja
266,2,85,3,2025-12-14,2025-12-15,2025-12-16,6.2,retrasado,alta
267,5,322,1,2025-03-02,2025-03-03,2025-03-03,6.36,completado,media
268,8,178,4,2025-10-22,2025-10-24,2025-10-25,6.4,retrasado,baja
269,9,447,2,2025-10-22,2025-10-22,2025-10-22,2.82,completado,alta
270,8,331,3,2025-08-30,2025-08-31,2025-08-31,6.14,completado,media
271,3,156,5,2024-11-09,2024-11-10,2024-11-10,6.74,"en progreso",baja
272,5,248,3,2024-02-18,2024-02-19,2024-02-21,3.15,retrasado,baja
273,9,317,2,2024-10-19,2024-10-20,2024-10-20,4.08,"en progreso",alta
274,3,355,6,2024-06-14,2024-06-14,2024-06-14,2.24,"en progreso",media
275,8,295,2,2024-09-23,2024-09-25,2024-09-25,6.19,completado,alta
276,11,363,1,2024-11-20,2024-11-20,2024-11-20,1.43,completado,media
277,3,230,5,2025-06-30,2025-06-30,2025-06-30,3.1,completado,media
278,3,477,4,2025-04-14,2025-04-15,2025-04-15,2.83,completado,baja
279,9,379,5,2024-12-05,2024-12-07,2024-12-07,7.04,completado,media
280,10,459,3,2025-11-13,2025-11-13,2025-11-17,4.39,retrasado,media
281,8,353,1,2024-02-11,2024-02-11,2024-02-15,1.74,retrasado,media
282,10,13,4,2024-08-13,2024-08-14,2024-08-14,4.72,completado,media
283,11,29,5,2024-07-18,2024-07-19,2024-07-19,5.76,completado,media
284,2,101,1,2025-07-05,2025-07-06,2025-07-06,5.51,completado,alta
285,8,202,2,2024-11-21,2024-11-21,2024-11-21,2.17,completado,alta
286,3,185,4,2025-03-13,2025-03-14,2025-03-14,5.73,completado,baja
287,6,146,3,2024-11-11,2024-11-12,2024-11-12,3.93,completado,baja
288,7,373,4,2025-03-29,2025-03-29,2025-03-29,4.91,completado,alta
289,3,459,4,2025-08-24,2025-08-25,2025-08-25,5.4,completado,baja
290,9,156,4,2024-12-09,2024-12-10,2024-12-14,7.62,retrasado,baja
291,11,4,4,2024-10-06,2024-10-08,2024-10-08,6.42,completado,alta
292,4,291,2,2024-07-09,2024-07-09,2024-07-09,-0.03,completado,alta
293,5,252,1,2025-08-22,2025-08-22,2025-08-22,2.56,completado,baja
294,3,14,1,2024-09-25,2024-09-26,2024-09-26,2.95,completado,baja
295,5,335,6,2025-03-03,2025-03-03,2025-03-03,0.24,"en progreso",baja
296,8,62,3,2024-03-09,2024-03-10,2024-03-10,6.92,completado,alta
297,7,247,5,2024-09-21,2024-09-23,2024-09-23,7.38,completado,alta
298,6,419,1,2025-06-08,2025-06-09,2025-06-09,6.67,completado,media
299,1,84,5,2024-05-29,2024-05-30,2024-05-30,3.39,completado,media
300,5,84,1,2025-01-04,2025-01-05,2025-01-05,4.41,completado,baja
301,9,149,3,2025-10-16,2025-10-18,2025-10-18,7.25,completado,alta
302,10,94,1,2024-06-20,2024-06-21,2024-06-21,3.23,completado,alta
303,5,410,3,2025-12-02,2025-12-02,2025-12-02,0.24,completado,baja
304,6,274,5,2024-05-27,2024-05-28,2024-06-01,6.62,retrasado,media
305,7,399,4,2024-12-14,2024-12-14,2024-12-14,4.94,completado,baja
306,9,112,2,2024-08-14,2024-08-16,2024-08-16,6.35,completado,media
307,2,236,1,2024-05-14,2024-05-15,2024-05-15,3.92,completado,media
308,6,160,6,2024-05-22,2024-05-24,2024-05-24,7.93,completado,baja
309,1,364,3,2024-05-01,2024-05-03,2024-05-03,6.72,"en progreso",alta
310,3,117,3,2024-08-02,2024-08-03,2024-08-03,4.1,retrasado,alta
311,2,391,1,2024-01-20,2024-01-21,2024-01-21,1.73,completado,baja
312,1,101,1,2025-11-06,2025-11-07,2025-11-07,4.13,completado,media
313,1,61,3,2024-03-08,2024-03-09,2024-03-09,3.02,completado,baja
314,10,401,1,2024-07-29,2024-07-30,2024-07-30,6.85,completado,baja
315,1,344,3,2024-04-02,2024-04-04,2024-04-09,7.08,retrasado,alta
316,3,179,3,2025-05-27,2025-05-27,2025-05-27,2.56,completado,alta
317,2,292,1,2025-08-15,2025-08-16,2025-08-16,2.87,completado,alta
318,3,99,3,2025-07-04,2025-07-05,2025-07-10,2.77,retrasado,baja
319,8,472,5,2025-01-10,2025-01-11,2025-01-11,4.01,completado,media
320,3,345,1,2024-12-29,2024-12-29,2024-12-29,1.16,completado,baja
321,7,264,2,2024-04-25,2024-04-25,2024-04-25,2.42,completado,baja
322,9,239,1,2024-05-19,2024-05-19,2024-05-19,3.07,completado,alta
323,1,148,5,2024-03-25,2024-03-26,2024-03-26,6.27,completado,media
324,10,146,4,2024-11-15,2024-11-16,2024-11-16,2.63,completado,baja
325,5,284,4,2025-03-14,2025-03-14,2025-03-14,-1.78,"en progreso",media
326,3,348,3,2024-01-14,2024-01-15,2024-01-15,5.1,completado,alta
327,8,54,4,2025-06-19,2025-06-20,2025-06-20,3.41,completado,baja
328,7,74,4,2025-12-12,2025-12-14,2025-12-14,5.38,completado,alta
329,2,474,2,2025-01-07,2025-01-07,2025-01-07,1.47,completado,baja
330,2,305,4,2024-08-26,2024-08-27,2024-08-27,2.67,completado,media
331,10,392,6,2025-08-30,2025-08-31,2025-08-31,4.36,completado,media
332,10,244,6,2025-02-18,2025-02-20,2025-02-20,6.39,completado,baja
333,2,394,4,2024-05-05,2024-05-05,2024-05-05,1.47,completado,baja
334,1,322,2,2024-04-11,2024-04-11,2024-04-11,0.76,completado,media
335,3,348,1,2025-01-26,2025-01-26,2025-01-26,-0.64,completado,baja
336,10,156,5,2024-04-08,2024-04-08,2024-04-08,3.99,completado,media
337,11,104,3,2025-05-24,2025-05-26,2025-05-26,7.94,completado,alta
338,9,176,5,2024-01-19,2024-01-21,2024-01-21,5.78,completado,media
339,7,451,1,2025-04-05,2025-04-05,2025-04-05,1.7,completado,media
340,1,236,1,2024-06-30,2024-07-01,2024-07-01,6.29,completado,alta
341,7,85,4,2024-05-17,2024-05-17,2024-05-17,3.8,completado,media
342,10,392,1,2025-11-22,2025-11-24,2025-11-24,7.17,completado,media
343,9,288,2,2024-02-27,2024-02-28,2024-02-28,2.69,completado,alta
344,11,194,5,2024-12-27,2024-12-28,2024-12-28,4.04,completado,media
345,10,32,1,2024-02-16,2024-02-17,2024-02-19,4.73,retrasado,alta
346,11,299,1,2024-12-15,2024-12-17,2024-12-17,6.95,completado,media
347,6,183,4,2024-02-27,2024-02-28,2024-02-28,4.51,completado,baja
348,10,332,3,2024-03-27,2024-03-27,2024-03-27,1.34,completado,media
349,3,59,3,2024-01-21,2024-01-22,2024-01-22,2.64,completado,media
350,10,337,4,2025-06-11,2025-06-11,2025-06-11,2.01,completado,baja
351,10,357,4,2024-01-23,2024-01-24,2024-01-24,6.1,completado,alta
352,10,200,3,2024-04-10,2024-04-12,2024-04-12,7.87,completado,alta
