dim_id_cliente,dim_nombre_empresa,dim_sector,dim_tamaño_empresa,dim_ciudad,dim_tipo_cliente,dim_riesgo_impago
324,"Beta Servicios SL","servicios profesionales",micro,Madrid,normal,alto
325,"Omega Retail",hostelería,micro,Madrid,normal,medio
326,"Beta Tech  SL",construcción,mediana,Barcelona,normal,medio
327,"Beta Tech",construcción,micro,Madrid,normal,bajo
328,"Delta Solutions  SL",hostelería,mediana,Madrid,normal,alto
329,"Beta Consulting SL",comercio,mediana,Valencia,normal,bajo
330,"Gamma Group  SL",hostelería,pequeña,Barcelona,normal,medio
331,"Beta Tech SL",tecnología,mediana,Madrid,normal,medio
332,"Delta Asesores  SL",construcción,micro,Madrid,VIP,bajo
333,"Omega Gestión  SL",hostelería,micro,Bilbao,normal,bajo
334,"Beta Gestión",comercio,pequeña,Madrid,normal,bajo
335,"Gamma Solutions  SL",hostelería,mediana,Sevilla,normal,medio
336,"Gamma Tech  SL",tecnología,mediana,Madrid,normal,medio
337,"Delta Solutions  SL",tecnología,mediana,Valencia,normal,bajo
338,"Gamma Servicios  SL","servicios profesionales",mediana,Madrid,normal,bajo
339,"Alfa Servicios  SL",hostelería,mediana,Sevilla,normal,bajo
340,"Gamma Gestión SL",comercio,mediana,Valencia,normal,medio
341,"Beta Retail SL",construcción,mediana,Madrid,normal,bajo
342,"Omega Servicios",hostelería,mediana,Madrid,normal,medio
343,"Alfa Group  SL",comercio,micro,Barcelona,normal,bajo
344,"Gamma Solutions  SL",construcción,pequeña,Madrid,normal,alto
345,"Delta Tech  SL",comercio,pequeña,Barcelona,normal,medio
346,"Delta Gestión SL",salud,pequeña,Barcelona,normal,bajo
347,"Omega Global",salud,pequeña,Barcelona,normal,bajo
348,"Omega Gestión  SL",salud,micro,Barcelona,normal,bajo
349,"Gamma Retail  SL",comercio,micro,Valencia,normal,bajo
350,"Beta Asesores  SL","servicios profesionales",mediana,Barcelona,normal,medio
351,"Alfa Asesores SL","servicios profesionales",micro,Madrid,normal,bajo
352,"Beta Global  SL",construcción,mediana,Madrid,VIP,medio
353,"Delta Gestión  SL",hostelería,micro,Madrid,normal,bajo
354,"Gamma Asesores SL","servicios profesionales",pequeña,Barcelona,normal,bajo
355,"Gamma Servicios  SL",hostelería,mediana,Madrid,normal,alto
356,"Omega Consulting  SL",comercio,mediana,Barcelona,normal,bajo
357,"Beta Retail",construcción,micro,Sevilla,normal,bajo
358,"Delta Asesores",construcción,mediana,Sevilla,normal,bajo
359,"Beta Servicios",salud,micro,Valencia,normal,bajo
360,"Gamma Retail SL",hostelería,micro,Madrid,normal,bajo
361,"Beta Group",comercio,micro,Bilbao,normal,bajo
362,"Gamma Servicios  SL",hostelería,pequeña,Madrid,normal,bajo
363,"Delta Solutions",construcción,mediana,Madrid,normal,bajo
364,"Delta Retail SL",salud,pequeña,Bilbao,VIP,medio
365,"Omega Tech  SL",hostelería,micro,Madrid,normal,bajo
366,"Delta Servicios SL",salud,micro,Barcelona,normal,bajo
367,"Delta Asesores  SL",hostelería,mediana,Madrid,normal,bajo
368,"Alfa Servicios SL","servicios profesionales",mediana,Barcelona,normal,bajo
369,"Delta Global SL","servicios profesionales",micro,Madrid,VIP,bajo
370,"Alfa Gestión SL",construcción,micro,Madrid,normal,alto
371,"Gamma Tech  SL",hostelería,pequeña,Bilbao,normal,bajo
372,"Gamma Group  SL",comercio,mediana,Sevilla,normal,bajo
373,"Delta Gestión SL",salud,micro,Sevilla,normal,alto
374,"Alfa Global  SL",hostelería,mediana,Madrid,normal,bajo
375,"Omega Servicios",comercio,mediana,Barcelona,normal,bajo
376,"Alfa Gestión  SL",tecnología,micro,Madrid,VIP,bajo
377,"Delta Group  SL",hostelería,pequeña,Barcelona,normal,bajo
378,"Omega Servicios  SL",construcción,pequeña,Sevilla,normal,bajo
379,"Alfa Tech SL",hostelería,micro,Valencia,normal,bajo
380,"Omega Solutions  SL",hostelería,mediana,Valencia,normal,bajo
381,"Delta Solutions  SL",hostelería,pequeña,Barcelona,VIP,medio
382,"Beta Group  SL",comercio,pequeña,Sevilla,normal,bajo
383,"Delta Asesores SL",hostelería,mediana,Madrid,VIP,bajo
384,"Omega Solutions  SL",construcción,micro,Sevilla,normal,medio
385,"Delta Tech  SL",comercio,micro,Barcelona,normal,alto
386,"Gamma Asesores",hostelería,micro,Madrid,normal,medio
387,"Alfa Asesores  SL",tecnología,pequeña,Madrid,normal,bajo
388,"Alfa Tech",hostelería,micro,Valencia,normal,medio
389,"Gamma Global  SL",construcción,micro,Valencia,normal,bajo
390,"Gamma Global",construcción,mediana,Valencia,normal,medio
391,"Omega Asesores  SL",hostelería,pequeña,Madrid,normal,bajo
392,"Gamma Asesores SL",hostelería,micro,Madrid,normal,alto
393,"Beta Asesores  SL",hostelería,pequeña,Bilbao,normal,bajo
394,"Omega Gestión  SL",construcción,micro,Valencia,normal,medio
395,"Gamma Global  SL",salud,pequeña,Barcelona,normal,bajo
396,"Beta Consulting SL",hostelería,mediana,Valencia,normal,bajo
397,"Alfa Consulting  SL",hostelería,micro,Barcelona,normal,medio
398,"Alfa Global SL",hostelería,pequeña,Sevilla,VIP,medio
399,"Delta Global  SL",hostelería,micro,Madrid,normal,bajo
400,"Alfa Global  SL",comercio,pequeña,Barcelona,normal,medio
401,"Alfa Tech SL",hostelería,pequeña,Valencia,normal,bajo
402,"Omega Group SL",comercio,micro,Barcelona,normal,bajo
403,"Omega Tech  SL",comercio,mediana,Madrid,normal,bajo
404,"Omega Solutions  SL",construcción,micro,Madrid,normal,bajo
405,"Omega Group  SL",hostelería,mediana,Barcelona,normal,medio
406,"Gamma Retail  SL",salud,micro,Madrid,normal,bajo
407,"Beta Global  SL",hostelería,micro,Sevilla,normal,medio
408,"Alfa Global  SL",salud,micro,Barcelona,normal,bajo
409,"Delta Retail  SL",tecnología,pequeña,Barcelona,VIP,bajo
410,"Alfa Solutions SL",comercio,micro,Madrid,normal,bajo
411,"Beta Retail  SL",hostelería,micro,Barcelona,normal,alto
412,"Gamma Global  SL",construcción,mediana,Barcelona,VIP,bajo
413,"Delta Group",comercio,mediana,Barcelona,VIP,alto
