fact_numero_factura,fact_id_cliente,fact_id_servicio,fact_fecha_factura,fact_fecha_vencimiento,fact_importe_facturado,fact_estado_pago
INV/1014/2024,7,1,2024-12-05,2025-01-04,145.20,pagado
INV/1014/2024,7,2,2024-12-05,2025-01-04,121.00,pagado
INV/1014/2024,7,3,2024-12-05,2025-01-04,302.50,pendiente
INV/1014/2024,7,4,2024-12-05,2025-01-04,108.90,pagado
INV/1014/2024,7,5,2024-12-05,2025-01-04,96.80,pagado
INV/1014/2024,7,6,2024-12-05,2025-01-04,605.00,pagado
INV/1014/2025,117,5,2025-10-10,2025-11-09,96.80,pagado
INV/1015/2024,29,1,2024-07-31,2024-08-30,145.20,pagado
INV/1015/2024,29,3,2024-07-31,2024-08-30,302.50,pagado
INV/1015/2025,248,3,2025-06-30,2025-07-30,302.50,pagado
INV/1016/2024,371,1,2024-04-30,2024-05-30,145.20,pagado
INV/1016/2024,371,3,2024-04-30,2024-05-30,302.50,vencido
INV/1016/2025,151,1,2025-06-30,2025-07-30,145.20,pagado
INV/1016/2025,151,3,2025-06-30,2025-07-30,302.50,pagado
INV/1017/2024,460,1,2024-06-13,2024-07-13,145.20,pagado
INV/1017/2024,460,2,2024-06-13,2024-07-13,121.00,pagado
INV/1017/2024,460,3,2024-06-13,2024-07-13,302.50,pagado
INV/1017/2024,460,4,2024-06-13,2024-07-13,108.90,pagado
INV/1017/2024,460,5,2024-06-13,2024-07-13,96.80,pagado
INV/1017/2025,385,3,2025-04-04,2025-05-04,302.50,pagado
INV/1017/2025,385,6,2025-04-04,2025-05-04,605.00,vencido
INV/1018/2024,161,5,2024-10-04,2024-11-03,96.80,pagado
INV/1018/2025,371,2,2025-01-31,2025-03-02,121.00,pagado
INV/1019/2024,232,1,2024-05-22,2024-06-21,145.20,pagado
INV/1019/2024,232,4,2024-05-22,2024-06-21,108.90,pagado
INV/1019/2024,232,5,2024-05-22,2024-06-21,96.80,pagado
INV/1019/2024,232,6,2024-05-22,2024-06-21,605.00,pagado
INV/1019/2025,449,2,2025-10-09,2025-11-08,121.00,pagado
INV/1019/2025,449,5,2025-10-09,2025-11-08,96.80,pagado
INV/102/2024,35,1,2024-06-05,2024-07-05,145.20,pagado
INV/102/2024,35,5,2024-06-05,2024-07-05,96.80,pagado
INV/102/2025,11,1,2025-02-28,2025-03-30,145.20,pagado
INV/102/2025,11,2,2025-02-28,2025-03-30,121.00,pagado
INV/102/2025,11,3,2025-02-28,2025-03-30,302.50,pagado
INV/1020/2024,148,1,2024-07-24,2024-08-23,145.20,pagado
INV/1020/2024,148,3,2024-07-24,2024-08-23,302.50,pagado
INV/1020/2024,148,6,2024-07-24,2024-08-23,605.00,pagado
INV/1020/2025,382,1,2025-01-23,2025-02-22,145.20,pagado
INV/1020/2025,382,2,2025-01-23,2025-02-22,121.00,pagado
INV/1020/2025,382,3,2025-01-23,2025-02-22,302.50,pagado
INV/1020/2025,382,6,2025-01-23,2025-02-22,605.00,pagado
INV/1021/2024,432,6,2024-05-15,2024-06-14,605.00,pagado
INV/1021/2025,206,2,2025-06-30,2025-07-30,121.00,pagado
INV/1022/2024,372,1,2024-07-31,2024-08-30,145.20,pagado
INV/1022/2024,372,2,2024-07-31,2024-08-30,121.00,pagado
INV/1022/2024,372,3,2024-07-31,2024-08-30,302.50,vencido
INV/1022/2025,136,3,2025-06-30,2025-07-30,302.50,pagado
INV/1023/2024,352,2,2024-11-08,2024-12-08,121.00,pagado
INV/1023/2024,352,5,2024-11-08,2024-12-08,96.80,pagado
INV/1023/2024,352,6,2024-11-08,2024-12-08,605.00,pagado
INV/1023/2025,428,5,2025-08-12,2025-09-11,96.80,pendiente
INV/1024/2024,412,1,2024-11-29,2024-12-29,145.20,pagado
INV/1024/2025,383,6,2025-09-30,2025-10-30,605.00,pagado
INV/1025/2024,343,2,2024-06-28,2024-07-28,121.00,pagado
INV/1025/2025,172,6,2025-04-25,2025-05-25,605.00,vencido
INV/1026/2024,457,2,2024-11-29,2024-12-29,121.00,pagado
INV/1026/2024,457,3,2024-11-29,2024-12-29,302.50,vencido
INV/1026/2025,345,1,2025-11-21,2025-12-21,145.20,pendiente
INV/1026/2025,345,2,2025-11-21,2025-12-21,121.00,pendiente
INV/1026/2025,345,3,2025-11-21,2025-12-21,302.50,pagado
INV/1026/2025,345,5,2025-11-21,2025-12-21,96.80,pagado
INV/1027/2024,28,3,2024-04-30,2024-05-30,302.50,pagado
INV/1027/2025,233,1,2025-10-14,2025-11-13,145.20,pendiente
INV/1027/2025,233,2,2025-10-14,2025-11-13,121.00,pagado
INV/1027/2025,233,4,2025-10-14,2025-11-13,108.90,pagado
INV/1028/2024,380,1,2024-08-30,2024-09-29,145.20,pagado
INV/1028/2024,380,2,2024-08-30,2024-09-29,121.00,pagado
INV/1028/2025,62,1,2025-08-29,2025-09-28,145.20,pagado
INV/1028/2025,62,2,2025-08-29,2025-09-28,121.00,pagado
INV/1029/2024,477,2,2024-07-31,2024-08-30,121.00,vencido
INV/1029/2025,116,3,2025-11-27,2025-12-27,302.50,pagado
INV/1029/2025,116,4,2025-11-27,2025-12-27,108.90,pendiente
INV/103/2024,416,3,2024-03-28,2024-04-27,302.50,pagado
INV/103/2025,364,2,2025-02-28,2025-03-30,121.00,pagado
INV/103/2025,364,3,2025-02-28,2025-03-30,302.50,pagado
INV/1030/2024,389,1,2024-07-18,2024-08-17,145.20,pagado
INV/1030/2024,389,2,2024-07-18,2024-08-17,121.00,pagado
INV/1030/2024,389,4,2024-07-18,2024-08-17,108.90,pagado
INV/1030/2025,238,1,2025-02-24,2025-03-26,145.20,vencido
INV/1030/2025,238,2,2025-02-24,2025-03-26,121.00,pagado
INV/1030/2025,238,4,2025-02-24,2025-03-26,108.90,pagado
INV/1031/2024,475,3,2024-02-28,2024-03-29,302.50,pagado
INV/1031/2025,219,2,2025-10-31,2025-11-30,121.00,pagado
INV/1031/2025,219,3,2025-10-31,2025-11-30,302.50,pagado
INV/1032/2024,414,1,2024-03-28,2024-04-27,145.20,vencido
INV/1032/2024,414,2,2024-03-28,2024-04-27,121.00,pagado
INV/1032/2024,414,3,2024-03-28,2024-04-27,302.50,pagado
INV/1032/2025,175,2,2025-05-30,2025-06-29,121.00,pagado
INV/1032/2025,175,3,2025-05-30,2025-06-29,302.50,vencido
INV/1033/2024,480,1,2024-02-28,2024-03-29,145.20,pagado
INV/1033/2024,480,2,2024-02-28,2024-03-29,121.00,pagado
INV/1033/2025,466,1,2025-06-04,2025-07-04,145.20,pendiente
INV/1033/2025,466,2,2025-06-04,2025-07-04,121.00,pagado
INV/1033/2025,466,5,2025-06-04,2025-07-04,96.80,pendiente
INV/1034/2024,21,1,2024-09-30,2024-10-30,145.20,pagado
INV/1034/2024,21,3,2024-09-30,2024-10-30,302.50,pagado
INV/1034/2025,412,1,2025-05-16,2025-06-15,145.20,pagado
INV/1034/2025,412,2,2025-05-16,2025-06-15,121.00,vencido
INV/1034/2025,412,3,2025-05-16,2025-06-15,302.50,pagado
INV/1034/2025,412,4,2025-05-16,2025-06-15,108.90,pagado
INV/1034/2025,412,5,2025-05-16,2025-06-15,96.80,pagado
INV/1034/2025,412,6,2025-05-16,2025-06-15,605.00,pagado
INV/1035/2024,409,2,2024-01-10,2024-02-09,121.00,pagado
INV/1035/2024,409,3,2024-01-10,2024-02-09,302.50,pagado
INV/1035/2024,409,4,2024-01-10,2024-02-09,108.90,pagado
INV/1035/2024,409,5,2024-01-10,2024-02-09,96.80,vencido
INV/1035/2024,409,6,2024-01-10,2024-02-09,605.00,pagado
INV/1035/2025,260,1,2025-04-30,2025-05-30,145.20,pagado
INV/1035/2025,260,3,2025-04-30,2025-05-30,302.50,pendiente
INV/1036/2024,245,1,2024-04-09,2024-05-09,145.20,pagado
INV/1036/2024,245,5,2024-04-09,2024-05-09,96.80,pagado
INV/1036/2025,278,1,2025-11-28,2025-12-28,145.20,pagado
INV/1036/2025,278,3,2025-11-28,2025-12-28,302.50,pendiente
INV/1037/2024,278,1,2024-03-28,2024-04-27,145.20,pagado
INV/1037/2024,278,2,2024-03-28,2024-04-27,121.00,pagado
INV/1037/2024,278,3,2024-03-28,2024-04-27,302.50,pagado
INV/1037/2025,77,1,2025-09-30,2025-10-30,145.20,pagado
INV/1037/2025,77,2,2025-09-30,2025-10-30,121.00,pendiente
INV/1037/2025,77,3,2025-09-30,2025-10-30,302.50,pendiente
INV/1038/2024,144,3,2024-12-13,2025-01-12,302.50,pagado
INV/1038/2024,144,6,2024-12-13,2025-01-12,605.00,pagado
INV/1038/2025,207,1,2025-03-31,2025-04-30,145.20,pagado
INV/1038/2025,207,3,2025-03-31,2025-04-30,302.50,pagado
INV/1039/2024,383,2,2024-06-12,2024-07-12,121.00,pagado
INV/1039/2024,383,4,2024-06-12,2024-07-12,108.90,pagado
INV/1039/2024,383,5,2024-06-12,2024-07-12,96.80,pagado
INV/1039/2024,383,6,2024-06-12,2024-07-12,605.00,pagado
INV/1039/2025,109,1,2025-03-27,2025-04-26,145.20,pagado
INV/1039/2025,109,2,2025-03-27,2025-04-26,121.00,pagado
INV/1039/2025,109,3,2025-03-27,2025-04-26,302.50,pagado
INV/1039/2025,109,5,2025-03-27,2025-04-26,96.80,pagado
INV/104/2024,162,2,2024-05-02,2024-06-01,121.00,pagado
INV/104/2024,162,6,2024-05-02,2024-06-01,605.00,vencido
INV/104/2025,200,6,2025-11-14,2025-12-14,605.00,pendiente
INV/1040/2024,175,1,2024-07-31,2024-08-30,145.20,pagado
INV/1040/2025,450,1,2025-01-27,2025-02-26,145.20,pagado
INV/1040/2025,450,3,2025-01-27,2025-02-26,302.50,pagado
INV/1040/2025,450,4,2025-01-27,2025-02-26,108.90,pagado
INV/1041/2024,478,4,2024-08-06,2024-09-05,108.90,pendiente
INV/1041/2025,66,1,2025-05-30,2025-06-29,145.20,pagado
INV/1042/2024,114,1,2024-06-28,2024-07-28,145.20,vencido
INV/1042/2024,114,3,2024-06-28,2024-07-28,302.50,pagado
INV/1042/2025,325,1,2025-01-09,2025-02-08,145.20,pendiente
INV/1042/2025,325,2,2025-01-09,2025-02-08,121.00,pagado
INV/1042/2025,325,5,2025-01-09,2025-02-08,96.80,pagado
INV/1043/2024,198,3,2024-09-30,2024-10-30,302.50,vencido
INV/1043/2025,352,1,2025-08-06,2025-09-05,145.20,pendiente
INV/1043/2025,352,4,2025-08-06,2025-09-05,108.90,pagado
INV/1043/2025,352,6,2025-08-06,2025-09-05,605.00,pagado
INV/1044/2024,286,1,2024-05-20,2024-06-19,145.20,pagado
INV/1044/2024,286,5,2024-05-20,2024-06-19,96.80,pagado
INV/1044/2024,286,6,2024-05-20,2024-06-19,605.00,pagado
INV/1044/2025,289,4,2025-04-16,2025-05-16,108.90,pagado
INV/1045/2024,56,1,2024-06-28,2024-07-28,145.20,pagado
INV/1045/2024,56,2,2024-06-28,2024-07-28,121.00,pagado
INV/1045/2024,56,3,2024-06-28,2024-07-28,302.50,pagado
INV/1045/2025,29,6,2025-11-05,2025-12-05,605.00,pendiente
INV/1046/2024,369,1,2024-02-06,2024-03-07,145.20,pagado
INV/1046/2024,369,6,2024-02-06,2024-03-07,605.00,pagado
INV/1046/2025,365,3,2025-01-31,2025-03-02,302.50,pendiente
INV/1047/2024,68,2,2024-08-30,2024-09-29,121.00,pagado
INV/1047/2025,286,4,2025-03-31,2025-04-30,108.90,pagado
INV/1047/2025,286,5,2025-03-31,2025-04-30,96.80,vencido
INV/1047/2025,286,6,2025-03-31,2025-04-30,605.00,pagado
INV/1048/2024,84,1,2024-03-26,2024-04-25,145.20,pendiente
INV/1048/2024,84,2,2024-03-26,2024-04-25,121.00,pagado
INV/1048/2024,84,3,2024-03-26,2024-04-25,302.50,pagado
INV/1048/2024,84,5,2024-03-26,2024-04-25,96.80,pagado
INV/1048/2025,428,1,2025-07-10,2025-08-09,145.20,pendiente
INV/1048/2025,428,2,2025-07-10,2025-08-09,121.00,pendiente
INV/1048/2025,428,3,2025-07-10,2025-08-09,302.50,pagado
INV/1048/2025,428,4,2025-07-10,2025-08-09,108.90,pagado
INV/1048/2025,428,5,2025-07-10,2025-08-09,96.80,pendiente
INV/1048/2025,428,6,2025-07-10,2025-08-09,605.00,pagado
INV/1049/2024,404,1,2024-12-31,2025-01-30,145.20,pagado
INV/1049/2024,404,2,2024-12-31,2025-01-30,121.00,pagado
INV/1049/2024,404,3,2024-12-31,2025-01-30,302.50,pendiente
INV/1049/2025,186,1,2025-08-29,2025-09-28,145.20,pendiente
INV/1049/2025,186,3,2025-08-29,2025-09-28,302.50,pagado
INV/105/2024,456,2,2024-07-16,2024-08-15,121.00,pagado
INV/105/2024,456,4,2024-07-16,2024-08-15,108.90,pagado
INV/105/2025,345,1,2025-04-04,2025-05-04,145.20,pendiente
INV/105/2025,345,2,2025-04-04,2025-05-04,121.00,vencido
INV/105/2025,345,3,2025-04-04,2025-05-04,302.50,vencido
INV/105/2025,345,4,2025-04-04,2025-05-04,108.90,vencido
INV/105/2025,345,5,2025-04-04,2025-05-04,96.80,pagado
INV/1050/2024,450,6,2024-04-29,2024-05-29,605.00,pagado
INV/1050/2025,346,1,2025-07-11,2025-08-10,145.20,pendiente
INV/1050/2025,346,2,2025-07-11,2025-08-10,121.00,pagado
INV/1050/2025,346,4,2025-07-11,2025-08-10,108.90,pagado
INV/1051/2024,36,2,2024-04-30,2024-05-30,121.00,pagado
INV/1051/2025,270,1,2025-11-27,2025-12-27,145.20,pagado
INV/1051/2025,270,3,2025-11-27,2025-12-27,302.50,pagado
INV/1051/2025,270,5,2025-11-27,2025-12-27,96.80,pagado
INV/1051/2025,270,6,2025-11-27,2025-12-27,605.00,pagado
INV/1052/2024,350,2,2024-02-28,2024-03-29,121.00,pagado
INV/1052/2025,421,1,2025-07-31,2025-08-30,145.20,pagado
INV/1052/2025,421,3,2025-07-31,2025-08-30,302.50,pagado
INV/1053/2024,252,4,2024-03-08,2024-04-07,108.90,pagado
INV/1053/2025,463,6,2025-08-13,2025-09-12,605.00,pagado
INV/1054/2024,330,1,2024-07-31,2024-08-30,145.20,pagado
INV/1054/2025,18,1,2025-05-19,2025-06-18,145.20,pagado
INV/1054/2025,18,2,2025-05-19,2025-06-18,121.00,pagado
INV/1054/2025,18,3,2025-05-19,2025-06-18,302.50,pagado
INV/1054/2025,18,4,2025-05-19,2025-06-18,108.90,pagado
INV/1055/2024,148,1,2024-04-05,2024-05-05,145.20,pagado
INV/1055/2024,148,2,2024-04-05,2024-05-05,121.00,pagado
INV/1055/2024,148,3,2024-04-05,2024-05-05,302.50,pagado
INV/1055/2024,148,5,2024-04-05,2024-05-05,96.80,pagado
INV/1055/2024,148,6,2024-04-05,2024-05-05,605.00,pagado
INV/1055/2025,399,1,2025-03-31,2025-04-30,145.20,pagado
INV/1056/2024,403,1,2024-03-13,2024-04-12,145.20,pagado
INV/1056/2024,403,2,2024-03-13,2024-04-12,121.00,pagado
INV/1056/2024,403,3,2024-03-13,2024-04-12,302.50,pagado
INV/1056/2024,403,4,2024-03-13,2024-04-12,108.90,pagado
INV/1056/2025,389,1,2025-05-30,2025-06-29,145.20,pagado
INV/1056/2025,389,3,2025-05-30,2025-06-29,302.50,pagado
INV/1057/2024,62,1,2024-11-29,2024-12-29,145.20,pagado
INV/1057/2025,7,5,2025-07-03,2025-08-02,96.80,pagado
INV/1057/2025,7,6,2025-07-03,2025-08-02,605.00,pagado
INV/1058/2024,102,1,2024-11-05,2024-12-05,145.20,pagado
INV/1058/2024,102,3,2024-11-05,2024-12-05,302.50,pagado
INV/1058/2024,102,6,2024-11-05,2024-12-05,605.00,pagado
INV/1058/2025,458,1,2025-12-31,2026-01-30,145.20,pagado
INV/1058/2025,458,2,2025-12-31,2026-01-30,121.00,pagado
INV/1059/2024,284,4,2024-09-11,2024-10-11,108.90,pagado
INV/1059/2025,170,5,2025-10-10,2025-11-09,96.80,pagado
INV/106/2024,93,1,2024-09-30,2024-10-30,145.20,pagado
INV/106/2025,193,1,2025-06-30,2025-07-30,145.20,pagado
INV/106/2025,193,2,2025-06-30,2025-07-30,121.00,pagado
INV/106/2025,193,3,2025-06-30,2025-07-30,302.50,pagado
INV/1060/2024,277,5,2024-04-09,2024-05-09,96.80,pagado
INV/1060/2025,101,1,2025-04-09,2025-05-09,145.20,pagado
INV/1060/2025,101,2,2025-04-09,2025-05-09,121.00,pagado
INV/1060/2025,101,3,2025-04-09,2025-05-09,302.50,pagado
INV/1060/2025,101,5,2025-04-09,2025-05-09,96.80,vencido
INV/1061/2024,253,2,2024-04-30,2024-05-30,121.00,pagado
INV/1061/2025,23,1,2025-11-17,2025-12-17,145.20,pagado
INV/1061/2025,23,3,2025-11-17,2025-12-17,302.50,pagado
INV/1061/2025,23,6,2025-11-17,2025-12-17,605.00,pagado
INV/1062/2024,416,1,2024-08-30,2024-09-29,145.20,pagado
INV/1062/2024,416,3,2024-08-30,2024-09-29,302.50,pagado
INV/1062/2025,433,1,2025-06-30,2025-07-30,145.20,pendiente
INV/1063/2024,342,2,2024-10-31,2024-11-30,121.00,pagado
INV/1063/2025,53,2,2025-10-31,2025-11-30,121.00,pagado
INV/1064/2024,297,1,2024-09-13,2024-10-13,145.20,pagado
INV/1064/2024,297,2,2024-09-13,2024-10-13,121.00,pagado
INV/1064/2024,297,3,2024-09-13,2024-10-13,302.50,vencido
INV/1064/2024,297,5,2024-09-13,2024-10-13,96.80,pagado
INV/1064/2025,460,1,2025-08-29,2025-09-28,145.20,pagado
INV/1065/2024,355,3,2024-12-18,2025-01-17,302.50,vencido
INV/1065/2024,355,4,2024-12-18,2025-01-17,108.90,pagado
INV/1065/2025,261,1,2025-06-26,2025-07-26,145.20,pagado
INV/1065/2025,261,2,2025-06-26,2025-07-26,121.00,pagado
INV/1065/2025,261,3,2025-06-26,2025-07-26,302.50,pagado
INV/1065/2025,261,6,2025-06-26,2025-07-26,605.00,pendiente
INV/1066/2024,155,1,2024-04-12,2024-05-12,145.20,pagado
INV/1066/2024,155,2,2024-04-12,2024-05-12,121.00,vencido
INV/1066/2024,155,3,2024-04-12,2024-05-12,302.50,pendiente
INV/1066/2024,155,4,2024-04-12,2024-05-12,108.90,pagado
INV/1066/2025,470,2,2025-02-04,2025-03-06,121.00,vencido
INV/1066/2025,470,4,2025-02-04,2025-03-06,108.90,pendiente
INV/1067/2024,245,1,2024-05-31,2024-06-30,145.20,pendiente
INV/1067/2024,245,3,2024-05-31,2024-06-30,302.50,pagado
INV/1067/2025,324,1,2025-01-15,2025-02-14,145.20,pagado
INV/1067/2025,324,2,2025-01-15,2025-02-14,121.00,vencido
INV/1067/2025,324,4,2025-01-15,2025-02-14,108.90,vencido
INV/1068/2024,144,6,2024-11-07,2024-12-07,605.00,pagado
INV/1068/2025,369,6,2025-01-07,2025-02-06,605.00,pagado
INV/1069/2024,386,1,2024-11-29,2024-12-29,145.20,vencido
INV/1069/2025,352,1,2025-04-25,2025-05-25,145.20,pagado
INV/1069/2025,352,2,2025-04-25,2025-05-25,121.00,pagado
INV/1069/2025,352,3,2025-04-25,2025-05-25,302.50,pagado
INV/1069/2025,352,6,2025-04-25,2025-05-25,605.00,pagado
INV/107/2024,354,1,2024-08-30,2024-09-29,145.20,vencido
INV/107/2025,173,4,2025-09-03,2025-10-03,108.90,pagado
INV/107/2025,173,6,2025-09-03,2025-10-03,605.00,pagado
INV/1070/2024,67,3,2024-03-28,2024-04-27,302.50,pagado
INV/1070/2025,293,1,2025-01-02,2025-02-01,145.20,pagado
INV/1070/2025,293,5,2025-01-02,2025-02-01,96.80,pagado
INV/1071/2024,390,1,2024-08-07,2024-09-06,145.20,pagado
INV/1071/2024,390,2,2024-08-07,2024-09-06,121.00,vencido
INV/1071/2024,390,3,2024-08-07,2024-09-06,302.50,vencido
INV/1071/2024,390,4,2024-08-07,2024-09-06,108.90,vencido
INV/1071/2025,211,1,2025-03-10,2025-04-09,145.20,pendiente
INV/1071/2025,211,4,2025-03-10,2025-04-09,108.90,vencido
INV/1072/2024,441,1,2024-01-31,2024-03-01,145.20,vencido
INV/1072/2024,441,2,2024-01-31,2024-03-01,121.00,pagado
INV/1072/2025,173,1,2025-01-28,2025-02-27,145.20,pagado
INV/1072/2025,173,3,2025-01-28,2025-02-27,302.50,pagado
INV/1072/2025,173,5,2025-01-28,2025-02-27,96.80,pagado
INV/1073/2024,405,1,2024-02-05,2024-03-06,145.20,pagado
INV/1073/2024,405,3,2024-02-05,2024-03-06,302.50,vencido
INV/1073/2024,405,5,2024-02-05,2024-03-06,96.80,pagado
INV/1073/2025,130,1,2025-08-29,2025-09-28,145.20,pendiente
INV/1074/2024,158,1,2024-03-28,2024-04-27,145.20,vencido
INV/1074/2025,39,2,2025-05-30,2025-06-29,121.00,pagado
INV/1075/2024,473,2,2024-01-08,2024-02-07,121.00,pagado
INV/1075/2024,473,6,2024-01-08,2024-02-07,605.00,pagado
INV/1075/2025,173,3,2025-12-12,2026-01-11,302.50,pendiente
INV/1075/2025,173,4,2025-12-12,2026-01-11,108.90,pagado
INV/1075/2025,173,6,2025-12-12,2026-01-11,605.00,pagado
INV/1076/2024,303,1,2024-01-31,2024-03-01,145.20,vencido
INV/1076/2025,102,1,2025-08-22,2025-09-21,145.20,pagado
INV/1076/2025,102,4,2025-08-22,2025-09-21,108.90,pagado
INV/1076/2025,102,5,2025-08-22,2025-09-21,96.80,pendiente
INV/1076/2025,102,6,2025-08-22,2025-09-21,605.00,pendiente
INV/1077/2024,134,1,2024-03-28,2024-04-27,145.20,vencido
INV/1077/2024,134,2,2024-03-28,2024-04-27,121.00,pendiente
INV/1077/2024,134,3,2024-03-28,2024-04-27,302.50,pagado
INV/1077/2025,161,1,2025-11-19,2025-12-19,145.20,pendiente
